"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
18.16811,59.18113,6.27509450912476,7.20316362380981,26.8335113525391,711.457153320312,21.2999992370605,-5.54390954971313,26.8439083099365,14.5863075256348,0.433333307504654,15.5425872802734,-1.84693109989166,589,69,29,27.4095153808594,189,100,184,125
18.17242,59.18461,6.27509450912476,7.20316362380981,26.8335113525391,711.457153320312,21.2999992370605,-5.54390954971313,26.8439083099365,14.5863075256348,0.433333307504654,15.5425872802734,-1.84693109989166,589,69,29,27.4095153808594,189,100,184,125
13.868216,45.584933,11.0706148147583,8.1102294921875,30.6801815032959,672.427856445312,25.7810001373291,-0.653750002384186,26.4347496032715,7.90899991989136,3.73858332633972,19.4866256713867,3.10491681098938,1514,173,87,20.4176368713379,483,311,342,349
2.742875,41.661403,15.0516366958618,9.73750019073486,39.2104682922363,552.174865722656,28.21071434021,3.37678575515747,24.8339290618896,16.0693454742432,22.0407733917236,22.2032737731934,8.83571434020996,720,92,29,25.9673938751221,237,131,160,170
2.745927,41.67093,14.6412076950073,10.3453636169434,39.7616271972656,567.992980957031,28.3992309570312,2.3807692527771,26.018461227417,15.5991458892822,21.8418388366699,21.9457263946533,8.17850399017334,743,90,31,24.022985458374,236,139,162,176
13.643874,45.531744,13.8280038833618,7.46065902709961,29.0271739959717,684.120727539062,27.9046516418457,2.20232558250427,25.7023258209229,14.5682172775269,6.4589147567749,22.4759693145752,5.68875980377197,1028,117,55,22.7352333068848,335,192,248,212
3.13404,51.3126,10.1307678222656,6.59164047241211,32.2359161376953,507.88134765625,21.4699993133545,1.02187502384186,20.4481239318848,7.78588533401489,6.12208318710327,16.4008846282959,4.11989593505859,758,84,44,19.9005489349365,238,142,202,177
3.10138,51.308,10.1307678222656,6.59164047241211,32.2359161376953,507.88134765625,21.4699993133545,1.02187502384186,20.4481239318848,7.78588533401489,6.12208318710327,16.4008846282959,4.11989593505859,758,84,44,19.9005489349365,238,142,202,177
15.30993,44.07379,14.1774482727051,9.86998462677002,35.1091041564941,663.440551757812,29.8431282043457,1.73080563545227,28.1123218536377,14.8843603134155,22.6146125793457,22.6146125793457,6.44818305969238,864,104,31,31.1447048187256,303,134,134,227
18.18779,57.39258,6.88012218475342,7.08799409866333,28.4758605957031,653.110900878906,21.0265464782715,-3.86469078063965,24.8912372589111,7.6861252784729,4.77495718002319,15.4051542282104,-0.394759476184845,522,60,26,25.5051898956299,168,90,134,110
18.18899,57.39181,6.88012218475342,7.08799409866333,28.4758605957031,653.110900878906,21.0265464782715,-3.86469078063965,24.8912372589111,7.6861252784729,4.77495718002319,15.4051542282104,-0.394759476184845,522,60,26,25.5051898956299,168,90,134,110
18.14432,59.13296,6.02447891235352,7.07062482833862,27.0396881103516,694.845581054688,20.5759372711182,-5.57312488555908,26.1490631103516,14.2454681396484,4.1015625,15.0660409927368,-1.88734376430511,616,67,32,25.0381889343262,190,108,183,142
16.73577,56.70429,7.19444990158081,7.30058002471924,29.0622520446777,656.985717773438,21.321720123291,-3.79877042770386,25.120491027832,15.0671443939209,1.72493159770966,15.7072401046753,-0.282650262117386,528,57,33,18.9037380218506,156,101,146,123
18.22877,59.31504,6.27509450912476,7.20316362380981,26.8335113525391,711.457153320312,21.2999992370605,-5.54390954971313,26.8439083099365,14.5863075256348,0.433333307504654,15.5425872802734,-1.84693109989166,589,69,29,27.4095153808594,189,100,184,125
18.22889,59.315,6.27509450912476,7.20316362380981,26.8335113525391,711.457153320312,21.2999992370605,-5.54390954971313,26.8439083099365,14.5863075256348,0.433333307504654,15.5425872802734,-1.84693109989166,589,69,29,27.4095153808594,189,100,184,125
18.17242,59.18461,6.27509450912476,7.20316362380981,26.8335113525391,711.457153320312,21.2999992370605,-5.54390954971313,26.8439083099365,14.5863075256348,0.433333307504654,15.5425872802734,-1.84693109989166,589,69,29,27.4095153808594,189,100,184,125
29.051435,40.988059,14.1795864105225,7.74262571334839,30.8391590118408,665.509765625,27.9338130950928,2.82733821868896,25.1064758300781,8.32733821868896,22.5101928710938,22.5101928710938,6.41762590408325,717,111,26,45.9037704467773,291,89,89,224
27.509456,40.494738,13.936562538147,7.18062496185303,29.2877540588379,663.285034179688,27.0625,2.54500007629395,24.5174999237061,8.14249992370605,22.1725006103516,22.1725006103516,6.18541669845581,645,106,17,52.9830627441406,278,61,61,219
7.014827,58.030779,7.29560279846191,4.24058961868286,22.4779663085938,551.749572753906,17.3406162261963,-1.52492308616638,18.8655395507812,5.05051279067993,9.18687152862549,14.1828203201294,0.959076941013336,1763,219,78,36.1116256713867,632,251,317,517
3.9,51.75,10.1179361343384,5.4551248550415,27.9893112182617,522.788635253906,20.6152362823486,1.12520778179169,19.4900283813477,11.2994918823242,6.02419233322144,16.4578952789307,3.77419209480286,748,83,41,23.0029621124268,246,141,200,175
30.73284,46.558376,9.90919971466064,6.99663591384888,22.9750347137451,881.73095703125,25.837308883667,-4.61590194702148,30.4532108306885,18.7449550628662,-0.0887359455227852,20.7436790466309,-0.859632968902588,449,52,26,20.7489757537842,142,93,139,104
11.957798,54.64541,8.76284027099609,4.38996601104736,21.6211013793945,614.05615234375,20.1591835021973,-0.144897967576981,20.3040809631348,16.5085029602051,3.65391159057617,16.5085029602051,1.74880957603455,588,62,33,18.4489459991455,170,111,170,134
